"ID"	"adj.P.Val"	"P.Value"	"F"	"Gene.symbol"	"Gene.title"
"AFFX-Ce_catalase_5_s_at"	"4.79e-01"	"1.12e-01"	"2.41952"	""	""
"174086_s_at"	"4.79e-01"	"1.12e-01"	"2.41951"	"sma-10"	"SMAll"
"172990_at"	"4.79e-01"	"1.12e-01"	"2.4192"	"gsk-3"	"Glycogen synthase kinase-3"
"187470_s_at"	"4.79e-01"	"1.13e-01"	"2.41774"	"R06F6.8"	"Guanine nucleotide exchange factor subunit R06F6.8"
"172006_x_at"	"4.79e-01"	"1.13e-01"	"2.41748"	"bli-4"	"BLIstered cuticle"
"175633_at"	"4.79e-01"	"1.13e-01"	"2.41747"	"vha-2///vha-3"	"V-type proton ATPase 16 kDa proteolipid subunit 2/3///V-type proton ATPase 16 kDa proteolipid subunit 2/3"
"185062_at"	"4.79e-01"	"1.13e-01"	"2.41731"	"W09G12.3"	"pseudo"
"192885_s_at"	"4.79e-01"	"1.13e-01"	"2.41719"	"F53E4.1"	"hypothetical protein"
"182357_at"	"4.80e-01"	"1.13e-01"	"2.41639"	"nlp-26"	"Neuropeptide-Like Protein"
"174870_at"	"4.80e-01"	"1.13e-01"	"2.41636"	"pap-1"	"Poly-A Polymerase"
"184548_s_at"	"4.80e-01"	"1.13e-01"	"2.41504"	"letm-1"	"LETM1 (Leucine zipper, EF-hand, TransMembrane mitochondrial protein) homolog"
"174754_at"	"4.80e-01"	"1.13e-01"	"2.41483"	"deb-1"	"DEnse Body"
"176263_s_at"	"4.80e-01"	"1.13e-01"	"2.41478"	"H34I24.2"	"hypothetical protein"
"185170_at"	"4.80e-01"	"1.13e-01"	"2.41405"	"sre-18"	"Serpentine Receptor, class E (epsilon)"
"188030_s_at"	"4.80e-01"	"1.13e-01"	"2.41361"	"flp-15"	"FMRF-Like Peptide"
"178408_at"	"4.81e-01"	"1.13e-01"	"2.41301"	"rpl-2"	"60S ribosomal protein L8"
"192288_at"	"4.81e-01"	"1.13e-01"	"2.41253"	"K03A1.4"	"hypothetical protein"
"176328_at"	"4.81e-01"	"1.13e-01"	"2.41237"	"Y22D7AL.4"	"hypothetical protein"
"179523_at"	"4.81e-01"	"1.13e-01"	"2.41196"	"F59A2.5"	"hypothetical protein"
"187838_s_at"	"4.81e-01"	"1.13e-01"	"2.41189"	"fbxa-123"	"pseudo"
"190855_at"	"4.81e-01"	"1.13e-01"	"2.41129"	"C32B5.7"	"hypothetical protein"
"190688_s_at"	"4.81e-01"	"1.13e-01"	"2.41081"	"F44E7.2///C53A3.2///K09H11.7"	"hypothetical protein///hypothetical protein///hypothetical protein"
"173650_s_at"	"4.81e-01"	"1.13e-01"	"2.41038"	"col-63"	"COLlagen"
"192570_s_at"	"4.81e-01"	"1.13e-01"	"2.41001"	"him-14"	"MutS protein homolog him-14"
"174797_at"	"4.81e-01"	"1.13e-01"	"2.40946"	"H11E01.3"	"hypothetical protein"
"174982_at"	"4.81e-01"	"1.13e-01"	"2.40935"	"mnat-1"	"MNAT (menage a trois) TFIIH subunit"
"180169_at"	"4.81e-01"	"1.14e-01"	"2.40928"	"C54D2.2"	"hypothetical protein"
"184351_at"	"4.81e-01"	"1.14e-01"	"2.40878"	"irld-59"	"Insulin/EGF-Receptor L Domain protein"
"192054_at"	"4.81e-01"	"1.14e-01"	"2.40875"	"F29G6.1"	"hypothetical protein"
"190013_at"	"4.81e-01"	"1.14e-01"	"2.40836"	"dpy-9"	"DumPY: shorter than wild-type"
"172667_x_at"	"4.81e-01"	"1.14e-01"	"2.4082"	"pqn-72"	"Prion-like-(Q/N-rich)-domain-bearing protein"
"186812_s_at"	"4.81e-01"	"1.14e-01"	"2.40784"	"Y32H12A.8"	"hypothetical protein"
"177453_at"	"4.81e-01"	"1.14e-01"	"2.40763"	"oac-48"	"O-ACyltransferase homolog"
"179578_at"	"4.82e-01"	"1.14e-01"	"2.40665"	"Y6E2A.7"	"hypothetical protein"
"179803_at"	"4.82e-01"	"1.14e-01"	"2.40657"	"cku-70"	"Caenorhabditis KU"
"172105_x_at"	"4.82e-01"	"1.14e-01"	"2.40609"	""	""
"175202_at"	"4.82e-01"	"1.14e-01"	"2.40605"	"polk-1"	"DNA polymerase kappa"
"193840_at"	"4.82e-01"	"1.14e-01"	"2.40597"	"lrg-1"	"pseudo"
"186648_at"	"4.82e-01"	"1.14e-01"	"2.40517"	"F44G4.1"	"Brix domain-containing protein F44G4.1"
"190283_at"	"4.82e-01"	"1.14e-01"	"2.40512"	"unc-108"	"hypothetical protein"
"172360_x_at"	"4.82e-01"	"1.14e-01"	"2.405"	"abu-15"	"Activated in Blocked Unfolded protein response"
"174489_at"	"4.82e-01"	"1.14e-01"	"2.4049"	"anc-1"	"Nuclear anchorage protein 1"
"189593_at"	"4.82e-01"	"1.14e-01"	"2.40445"	"ZK1098.3"	"hypothetical protein"
"186440_at"	"4.82e-01"	"1.14e-01"	"2.40439"	"Y46G5A.14"	"hypothetical protein"
"181875_at"	"4.82e-01"	"1.14e-01"	"2.40352"	"lgc-38"	"Ligand-Gated ion Channel"
"191074_at"	"4.82e-01"	"1.14e-01"	"2.40342"	"ugt-3"	"UDP-GlucuronosylTransferase"
"173347_at"	"4.82e-01"	"1.14e-01"	"2.40335"	"phb-1"	"Mitochondrial prohibitin complex protein 1"
"188084_s_at"	"4.82e-01"	"1.14e-01"	"2.40331"	"plx-2"	"Plexin-2"
"174784_at"	"4.82e-01"	"1.14e-01"	"2.40296"	"rgs-7"	"Regulator of G protein Signaling"
"186391_s_at"	"4.82e-01"	"1.14e-01"	"2.40247"	"C23G10.7"	"Probable tRNA (uracil-O(2)-)-methyltransferase"
"188978_s_at"	"4.82e-01"	"1.14e-01"	"2.40235"	"cysl-2"	"Bifunctional L-3-cyanoalanine synthase/cysteine synthase"
"179668_at"	"4.82e-01"	"1.14e-01"	"2.40129"	"T04B2.7"	"hypothetical protein"
"191181_at"	"4.82e-01"	"1.14e-01"	"2.40101"	"npr-9"	"NeuroPeptide Receptor family"
"181122_at"	"4.82e-01"	"1.14e-01"	"2.40098"	"F23F1.7"	"hypothetical protein"
"182185_at"	"4.82e-01"	"1.14e-01"	"2.40089"	"B0554.2"	"hypothetical protein"
"192185_at"	"4.82e-01"	"1.14e-01"	"2.40021"	"vab-8"	"Kinesin-like protein vab-8"
"190593_at"	"4.82e-01"	"1.14e-01"	"2.39987"	"lin-38"	"hypothetical protein"
"179776_at"	"4.82e-01"	"1.14e-01"	"2.39977"	"T13C2.2"	"hypothetical protein"
"180534_at"	"4.82e-01"	"1.14e-01"	"2.39973"	"Y62H9A.6"	"hypothetical protein"
"189568_at"	"4.82e-01"	"1.15e-01"	"2.39946"	"F46F5.13"	"hypothetical protein"
"180883_at"	"4.82e-01"	"1.15e-01"	"2.39914"	"Y42A5A.3"	"hypothetical protein"
"174633_at"	"4.82e-01"	"1.15e-01"	"2.39875"	"ketn-1"	"KETtiN (Drosophila actin-binding) homolog"
"183430_at"	"4.82e-01"	"1.15e-01"	"2.39871"	"Y39B6A.34"	"APOPT family protein Y39B6A.34, mitochondrial"
"186352_at"	"4.83e-01"	"1.15e-01"	"2.39769"	"oig-8"	"One IG domain"
"178740_at"	"4.83e-01"	"1.15e-01"	"2.39749"	"T22C1.9"	"hypothetical protein"
"184986_at"	"4.83e-01"	"1.15e-01"	"2.3973"	"T20D4.15"	"hypothetical protein"
"178063_at"	"4.83e-01"	"1.15e-01"	"2.39727"	"Y5F2A.3"	"pseudo"
"193775_at"	"4.83e-01"	"1.15e-01"	"2.39587"	"skr-2"	"SKp1 Related (ubiquitin ligase complex component)"
"181306_at"	"4.83e-01"	"1.15e-01"	"2.39544"	"sri-24"	"Serpentine Receptor, class I"
"193039_s_at"	"4.83e-01"	"1.15e-01"	"2.39526"	"pbs-5"	"Proteasome subunit beta type"
"187774_s_at"	"4.83e-01"	"1.15e-01"	"2.39496"	"ZK1290.11"	"hypothetical protein"
"185447_at"	"4.83e-01"	"1.15e-01"	"2.39464"	"sdz-10"	"SKN-1 Dependent Zygotic transcript"
"181930_at"	"4.83e-01"	"1.15e-01"	"2.39449"	"ZK355.3"	"hypothetical protein"
"182965_at"	"4.83e-01"	"1.15e-01"	"2.39421"	"F38A5.2"	"hypothetical protein"
"178309_at"	"4.83e-01"	"1.15e-01"	"2.39396"	"E03H4.3"	"hypothetical protein"
"193071_at"	"4.83e-01"	"1.15e-01"	"2.39358"	"srpa-72"	"Signal recognition particle subunit SRP72"
"190002_at"	"4.83e-01"	"1.15e-01"	"2.39336"	"gba-2"	"Putative glucosylceramidase 2"
"174201_s_at"	"4.83e-01"	"1.15e-01"	"2.3933"	"Y119C1B.5"	"hypothetical protein"
"189477_s_at"	"4.83e-01"	"1.15e-01"	"2.39322"	"aman-2"	"Alpha-mannosidase"
"182515_at"	"4.83e-01"	"1.15e-01"	"2.39309"	"F13B9.2"	"hypothetical protein"
"175793_s_at"	"4.83e-01"	"1.15e-01"	"2.39298"	"ced-7"	"ABC transporter ced-7"
"179945_at"	"4.83e-01"	"1.15e-01"	"2.39269"	"R09H3.3"	"hypothetical protein"
"178332_s_at"	"4.84e-01"	"1.15e-01"	"2.39185"	"K09E4.4"	"hypothetical protein"
"192532_s_at"	"4.84e-01"	"1.15e-01"	"2.39182"	"C14C10.5"	"hypothetical protein"
"177763_at"	"4.84e-01"	"1.15e-01"	"2.39124"	"T23G4.5"	"hypothetical protein"
"192099_s_at"	"4.84e-01"	"1.15e-01"	"2.39109"	"igeg-2"	"IG (immunoglobulin), EGF and transmmembrane domain"
"177804_at"	"4.84e-01"	"1.15e-01"	"2.39099"	"T01B7.8"	"hypothetical protein"
"179790_at"	"4.84e-01"	"1.15e-01"	"2.39088"	"T24C4.5"	"DNA primase"
"187978_at"	"4.84e-01"	"1.15e-01"	"2.3904"	"grd-7"	"GRounDhog (hedgehog-like family)"
"172825_x_at"	"4.84e-01"	"1.15e-01"	"2.39029"	"his-39"	"HIStone"
"192130_at"	"4.84e-01"	"1.15e-01"	"2.39014"	"rpc-25"	"RNA Polymerase, Class III (C)"
"192825_at"	"4.84e-01"	"1.16e-01"	"2.38907"	"F38H4.10"	"hypothetical protein"
"173263_s_at"	"4.84e-01"	"1.16e-01"	"2.38873"	"gpdh-2"	"Glycerol-3-phosphate dehydrogenase [NAD(+)]"
"181655_at"	"4.84e-01"	"1.16e-01"	"2.38847"	"nas-29"	"Zinc metalloproteinase nas-29"
"176946_at"	"4.84e-01"	"1.16e-01"	"2.38817"	"Y48G1C.5"	"hypothetical protein"
"173492_s_at"	"4.84e-01"	"1.16e-01"	"2.38801"	"D1044.7"	"hypothetical protein"
"182290_at"	"4.84e-01"	"1.16e-01"	"2.38786"	"nhr-243"	"Nuclear Hormone Receptor family"
"182252_s_at"	"4.84e-01"	"1.16e-01"	"2.38754"	"K02A6.3"	"hypothetical protein"
"186528_s_at"	"4.84e-01"	"1.16e-01"	"2.38719"	"hpo-26"	"hypothetical protein"
"175139_s_at"	"4.84e-01"	"1.16e-01"	"2.38705"	"R05D11.5"	"hypothetical protein"
"192510_s_at"	"4.84e-01"	"1.16e-01"	"2.38658"	"Y37A1B.17"	"hypothetical protein"
"191926_s_at"	"4.84e-01"	"1.16e-01"	"2.3864"	"unc-54"	"Myosin-4"
"184636_at"	"4.84e-01"	"1.16e-01"	"2.38597"	"F48G7.10"	"hypothetical protein"
"190902_at"	"4.84e-01"	"1.16e-01"	"2.38596"	"R10D12.10"	"hypothetical protein"
"192861_at"	"4.85e-01"	"1.16e-01"	"2.385"	"C56A3.4"	"hypothetical protein"
"192744_at"	"4.85e-01"	"1.16e-01"	"2.38494"	"C34B7.2"	"hypothetical protein"
"188821_at"	"4.85e-01"	"1.16e-01"	"2.38464"	"syd-9"	"hypothetical protein"
"190952_at"	"4.85e-01"	"1.16e-01"	"2.38431"	"srd-9"	"Serpentine Receptor, class D (delta)"
"179321_at"	"4.85e-01"	"1.16e-01"	"2.383"	"B0250.4"	"pseudo"
"194096_s_at"	"4.85e-01"	"1.16e-01"	"2.38257"	"ttx-3"	"LIM/homeobox protein ttx-3"
"176378_at"	"4.85e-01"	"1.16e-01"	"2.38218"	"EGAP798.1"	"hypothetical protein"
"187315_s_at"	"4.85e-01"	"1.16e-01"	"2.38208"	"cpna-2"	"Copine family protein 2"
"174985_s_at"	"4.85e-01"	"1.16e-01"	"2.38206"	"ran-2"	"Ran GTPase-activating protein 2"
"191292_s_at"	"4.85e-01"	"1.16e-01"	"2.3816"	"cyc-1"	"CYtochrome C"
"186279_at"	"4.85e-01"	"1.16e-01"	"2.38149"	"frpr-4"	"FMRFamide Peptide Receptor family"
"190832_at"	"4.85e-01"	"1.16e-01"	"2.38145"	"rbc-1"	"RaBConnectin related"
"178200_at"	"4.85e-01"	"1.16e-01"	"2.38132"	"tag-138"	"hypothetical protein"
"189845_at"	"4.85e-01"	"1.16e-01"	"2.38113"	"bgal-1"	"Beta-galactosidase"
"179423_at"	"4.85e-01"	"1.16e-01"	"2.38064"	"twk-36"	"TWiK family of potassium channels"
"182617_at"	"4.85e-01"	"1.17e-01"	"2.38014"	"T25B6.4"	"hypothetical protein"
"187969_s_at"	"4.86e-01"	"1.17e-01"	"2.37929"	"ncr-1"	"Niemann-Pick C1 protein homolog 1"
"185922_at"	"4.86e-01"	"1.17e-01"	"2.37925"	"srw-108"	"Serpentine Receptor, class W"
"186217_at"	"4.86e-01"	"1.17e-01"	"2.37792"	"C50H11.8"	"hypothetical protein"
"191553_at"	"4.86e-01"	"1.17e-01"	"2.37766"	"eak-6"	"Enhancer of AKt-1 null"
"187121_at"	"4.86e-01"	"1.17e-01"	"2.37751"	"Y105C5A.24"	"hypothetical protein"
"182286_at"	"4.86e-01"	"1.17e-01"	"2.37694"	"F45E1.4"	"hypothetical protein"
"193385_at"	"4.86e-01"	"1.17e-01"	"2.37671"	"srx-91"	"pseudo"
"178225_at"	"4.86e-01"	"1.17e-01"	"2.37657"	"F28C6.9"	"hypothetical protein"
"175324_s_at"	"4.86e-01"	"1.17e-01"	"2.3761"	"zhp-3"	"Zip (yeast meiotic zipper) Homologous Protein"
"185298_s_at"	"4.86e-01"	"1.17e-01"	"2.37598"	"ZK1193.2"	"hypothetical protein"
"177903_s_at"	"4.86e-01"	"1.17e-01"	"2.37596"	"oac-14"	"O-ACyltransferase homolog"
"184505_s_at"	"4.86e-01"	"1.17e-01"	"2.37585"	"nkcc-1"	"Na-K-Cl Cotransporter homolog"
"181467_at"	"4.86e-01"	"1.17e-01"	"2.37516"	"C17B7.4"	"hypothetical protein"
"182999_at"	"4.86e-01"	"1.17e-01"	"2.3748"	"W06H8.2"	"hypothetical protein"
"185394_at"	"4.86e-01"	"1.17e-01"	"2.37423"	"F21C10.6"	"hypothetical protein"
"193189_at"	"4.86e-01"	"1.17e-01"	"2.37415"	"npr-11"	"Putative neuropeptide Y receptor 11"
"191487_at"	"4.86e-01"	"1.17e-01"	"2.37406"	"B0334.5"	"hypothetical protein"
"193754_at"	"4.86e-01"	"1.17e-01"	"2.37392"	"Y59A8B.8"	"hypothetical protein"
"189261_at"	"4.86e-01"	"1.17e-01"	"2.37379"	"F21A3.11"	"Purple acid phosphatase"
"182870_at"	"4.86e-01"	"1.17e-01"	"2.37376"	"C10E2.2"	"hypothetical protein"
"182785_at"	"4.87e-01"	"1.17e-01"	"2.37338"	"R04A9.3"	"hypothetical protein"
"189702_at"	"4.87e-01"	"1.17e-01"	"2.37308"	"T24D5.4"	"hypothetical protein"
"191309_at"	"4.87e-01"	"1.17e-01"	"2.3727"	"srh-49"	"Serpentine Receptor, class H"
"172530_x_at"	"4.87e-01"	"1.17e-01"	"2.37197"	"srw-141"	"Serpentine Receptor, class W"
"186596_at"	"4.87e-01"	"1.17e-01"	"2.37146"	"ZK675.4"	"hypothetical protein"
"182022_at"	"4.87e-01"	"1.17e-01"	"2.37132"	"F41C6.2"	"hypothetical protein"
"190987_at"	"4.87e-01"	"1.17e-01"	"2.37127"	"pho-8"	"intestinal acid PHOsphatase"
"176167_at"	"4.87e-01"	"1.17e-01"	"2.37084"	"Y38F2AR.6///tftc-1"	"Protein Y38F2AR.6///Transcription Factor ThreeC subunit (GTF3C homolog)"
"186041_at"	"4.87e-01"	"1.18e-01"	"2.37077"	"T25G12.3"	"hypothetical protein"
"189190_s_at"	"4.87e-01"	"1.18e-01"	"2.37075"	"R03D7.2"	"hypothetical protein"
"194211_x_at"	"4.87e-01"	"1.18e-01"	"2.37048"	"abu-8"	"Activated in Blocked Unfolded protein response"
"188755_at"	"4.87e-01"	"1.18e-01"	"2.3695"	"srd-63"	"Serpentine receptor class delta-63"
"174140_at"	"4.87e-01"	"1.18e-01"	"2.36949"	"ztf-7"	"Zinc finger putative Transcription Factor family"
"188469_at"	"4.87e-01"	"1.18e-01"	"2.36949"	"col-141"	"COLlagen"
"178331_at"	"4.87e-01"	"1.18e-01"	"2.36948"	"K09E4.4"	"hypothetical protein"
"182745_at"	"4.87e-01"	"1.18e-01"	"2.36862"	"T05B4.8"	"hypothetical protein"
"192456_at"	"4.87e-01"	"1.18e-01"	"2.36859"	"nhr-265"	"Nuclear Hormone Receptor family"
"190765_at"	"4.87e-01"	"1.18e-01"	"2.36851"	"zim-2"	"Zinc finger In Meiosis"
"177864_at"	"4.87e-01"	"1.18e-01"	"2.36818"	"pqn-27"	"Prion-like-(Q/N-rich)-domain-bearing protein"
"172041_x_at"	"4.87e-01"	"1.18e-01"	"2.36807"	"ser-1"	"SERotonin/octopamine receptor family"
"191758_at"	"4.87e-01"	"1.18e-01"	"2.3674"	"R11G1.1"	"hypothetical protein"
"188801_s_at"	"4.87e-01"	"1.18e-01"	"2.36719"	"igdb-1///igdb-2"	"Ig-like and fibronectin type-III domain-containing protein 1///Ig-like and fibronectin type-III domain-containing protein 2"
"193153_s_at"	"4.87e-01"	"1.18e-01"	"2.36714"	"rad-50"	"DNA repair protein rad-50"
"193185_at"	"4.87e-01"	"1.18e-01"	"2.36705"	"lip-1"	"Lateral-signal-Induced Phosphatase"
"190508_at"	"4.87e-01"	"1.18e-01"	"2.36704"	"gpx-7"	"Glutathione peroxidase"
"185583_at"	"4.87e-01"	"1.18e-01"	"2.36695"	"H06H21.8"	"hypothetical protein"
"192508_s_at"	"4.87e-01"	"1.18e-01"	"2.36692"	"C01C4.3"	"Putative serine/threonine-protein kinase C01C4.3"
"175151_at"	"4.87e-01"	"1.18e-01"	"2.36685"	"F53C11.1"	"hypothetical protein"
"187911_at"	"4.87e-01"	"1.18e-01"	"2.3668"	"coh-3"	"COHesin family"
"183595_at"	"4.87e-01"	"1.18e-01"	"2.36676"	"mocs-1"	"Molybdenum cofactor sulfurase"
"187965_s_at"	"4.87e-01"	"1.18e-01"	"2.36669"	"ttn-1"	"Titin homolog"
"171723_x_at"	"4.87e-01"	"1.18e-01"	"2.36665"	"vit-4"	"Vitellogenin-4"
"192787_at"	"4.87e-01"	"1.18e-01"	"2.36662"	"col-163"	"COLlagen"
"179601_at"	"4.87e-01"	"1.18e-01"	"2.36601"	"ZK228.1"	"hypothetical protein"
"184643_at"	"4.87e-01"	"1.18e-01"	"2.36586"	"srbc-9"	"Serpentine Receptor, class BC (class B-like)"
"173318_at"	"4.87e-01"	"1.18e-01"	"2.3652"	"COX3"	"cytochrome c oxidase subunit III"
"191076_s_at"	"4.87e-01"	"1.18e-01"	"2.36486"	"lgc-49"	"Ligand-Gated ion Channel"
"178479_s_at"	"4.87e-01"	"1.18e-01"	"2.3648"	"let-19"	"Mediator of RNA polymerase II transcription subunit 13"
"182888_at"	"4.87e-01"	"1.18e-01"	"2.36414"	"F31F7.3"	"hypothetical protein"
"181162_s_at"	"4.87e-01"	"1.18e-01"	"2.36391"	"uba-5"	"Ubiquitin-like modifier-activating enzyme 5"
"175534_s_at"	"4.87e-01"	"1.18e-01"	"2.36385"	"F57C9.4"	"hypothetical protein"
"172557_x_at"	"4.87e-01"	"1.18e-01"	"2.36322"	""	""
"184746_at"	"4.87e-01"	"1.18e-01"	"2.36306"	"F52F10.2"	"hypothetical protein"
"188387_at"	"4.87e-01"	"1.18e-01"	"2.36296"	"F25H2.6"	"hypothetical protein"
"173344_at"	"4.87e-01"	"1.18e-01"	"2.36236"	"Y54F10BM.3"	"hypothetical protein"
"188208_at"	"4.88e-01"	"1.19e-01"	"2.36133"	"mlc-5"	"Myosin-2 essential light chain"
"174579_s_at"	"4.88e-01"	"1.19e-01"	"2.36083"	"H24G06.1"	"hypothetical protein"
"189226_at"	"4.88e-01"	"1.19e-01"	"2.36053"	""	""
"172987_s_at"	"4.88e-01"	"1.19e-01"	"2.35969"	"Y22D7AL.7"	"hypothetical protein"
"185103_at"	"4.88e-01"	"1.19e-01"	"2.35967"	"fbxa-114"	"F-box A protein"
"182268_at"	"4.88e-01"	"1.19e-01"	"2.35952"	"srbc-82"	"Serpentine Receptor, class BC (class B-like)"
"190458_at"	"4.88e-01"	"1.19e-01"	"2.35951"	"T24B8.2"	"hypothetical protein"
"175191_at"	"4.88e-01"	"1.19e-01"	"2.3595"	"rpl-12"	"60S ribosomal protein L12"
"183561_s_at"	"4.88e-01"	"1.19e-01"	"2.35914"	"F40F12.7"	"hypothetical protein"
"182696_s_at"	"4.88e-01"	"1.19e-01"	"2.35902"	"cpg-8"	"Chondroitin proteoglycan 8"
"192887_at"	"4.88e-01"	"1.19e-01"	"2.35901"	"rpl-25.2"	"60S ribosomal protein L23a 2"
"180529_at"	"4.88e-01"	"1.19e-01"	"2.35895"	"C17B7.3"	"hypothetical protein"
"192930_s_at"	"4.88e-01"	"1.19e-01"	"2.35843"	"fkb-4"	"Peptidyl-prolyl cis-trans isomerase"
"175626_at"	"4.88e-01"	"1.19e-01"	"2.35838"	"rgs-1"	"Regulator of G protein Signaling"
"177174_at"	"4.88e-01"	"1.19e-01"	"2.35815"	"R11.3"	"hypothetical protein"
"187480_at"	"4.88e-01"	"1.19e-01"	"2.35716"	"B0286.1"	"hypothetical protein"
"184223_at"	"4.88e-01"	"1.19e-01"	"2.35699"	"R02F11.2"	"hypothetical protein"
"175752_s_at"	"4.89e-01"	"1.19e-01"	"2.35574"	"odr-4"	"Odorant response abnormal protein 4"
"171857_x_at"	"4.89e-01"	"1.19e-01"	"2.35561"	"del-10"	"Degenerin-like protein del-10"
"190486_s_at"	"4.89e-01"	"1.19e-01"	"2.35538"	"daf-19"	"RFX-like transcription factor daf-19"
"180309_s_at"	"4.89e-01"	"1.19e-01"	"2.35522"	"F49E2.5"	"hypothetical protein"
"188239_s_at"	"4.89e-01"	"1.19e-01"	"2.35507"	"mab-21"	"Protein male abnormal 21"
"175716_at"	"4.89e-01"	"1.19e-01"	"2.35485"	"lin-29"	"hypothetical protein"
"185314_s_at"	"4.89e-01"	"1.19e-01"	"2.35473"	"Y52B11A.8"	"Phospholipase A2-like protein Y52B11A.8"
"185189_at"	"4.89e-01"	"1.19e-01"	"2.35398"	"slc-17.5"	"SLC (SoLute Carrier) homolog"
"190454_at"	"4.89e-01"	"1.19e-01"	"2.35386"	"gly-10"	"GLYcosylation related"
"191786_at"	"4.89e-01"	"1.19e-01"	"2.35374"	"lec-7"	"Probable galaptin lec-7"
"186868_at"	"4.89e-01"	"1.19e-01"	"2.35356"	"Y77E11A.8"	"hypothetical protein"
"173781_s_at"	"4.89e-01"	"1.19e-01"	"2.35349"	"uaf-2"	"U2AF splicing factor"
"181022_s_at"	"4.89e-01"	"1.19e-01"	"2.35299"	"C49A9.9///E02H9.3"	"hypothetical protein///hypothetical protein"
"172207_x_at"	"4.89e-01"	"1.19e-01"	"2.35293"	"T06E4.9"	"hypothetical protein"
"185180_at"	"4.89e-01"	"1.19e-01"	"2.35259"	"F14D2.11"	"hypothetical protein"
"175145_s_at"	"4.89e-01"	"1.19e-01"	"2.35258"	"mrps-26"	"Mitochondrial Ribosomal Protein, Small"
"182821_s_at"	"4.89e-01"	"1.19e-01"	"2.35227"	"R02D3.3"	"hypothetical protein"
"189305_at"	"4.89e-01"	"1.20e-01"	"2.35201"	"F55G1.5"	"hypothetical protein"
"178809_at"	"4.89e-01"	"1.20e-01"	"2.35184"	"Y6B3B.3"	"hypothetical protein"
"180233_s_at"	"4.89e-01"	"1.20e-01"	"2.35167"	"C04E6.7"	"hypothetical protein"
"181218_at"	"4.89e-01"	"1.20e-01"	"2.35041"	"smk-1"	"SMEK (Dictyostelium Suppressor of MEK null) homolog"
"189865_s_at"	"4.89e-01"	"1.20e-01"	"2.3504"	"hum-2"	"Heavy chain, Unconventional Myosin"
"181336_at"	"4.89e-01"	"1.20e-01"	"2.35016"	"fbxc-54"	"F-box C protein"
"189118_at"	"4.89e-01"	"1.20e-01"	"2.35004"	"ver-1"	"Protein ver-1"
"174922_at"	"4.89e-01"	"1.20e-01"	"2.34992"	"Y105C5A.15"	"hypothetical protein"
"183819_at"	"4.89e-01"	"1.20e-01"	"2.34931"	"C15H11.13///C15H11.1"	"hypothetical protein///Major sperm protein"
"187431_at"	"4.89e-01"	"1.20e-01"	"2.34906"	"C45G9.15"	"hypothetical protein"
"172930_x_at"	"4.89e-01"	"1.20e-01"	"2.34899"	""	""
"173875_at"	"4.90e-01"	"1.20e-01"	"2.34843"	"iff-2"	"Eukaryotic translation initiation factor 5A-2"
"183813_at"	"4.90e-01"	"1.20e-01"	"2.348"	"srx-79"	"pseudo"
"181657_at"	"4.90e-01"	"1.20e-01"	"2.34756"	"K02F6.4"	"hypothetical protein"
"189103_at"	"4.90e-01"	"1.20e-01"	"2.34695"	"daf-1"	"Cell surface receptor daf-1"
"182217_at"	"4.90e-01"	"1.20e-01"	"2.34625"	"F29G9.1"	"hypothetical protein"
"179355_at"	"4.90e-01"	"1.20e-01"	"2.3461"	"sfxn-1.3"	"SideroFleXiN (mitochondrial iron transporter)"
"174696_s_at"	"4.90e-01"	"1.20e-01"	"2.34573"	"clec-208"	"C-type LECtin"
"173040_at"	"4.90e-01"	"1.20e-01"	"2.34572"	"pnk-4"	"PaNtothenate Kinase"
"180875_at"	"4.90e-01"	"1.20e-01"	"2.34549"	"comp-1"	"hypothetical protein"
"179497_at"	"4.90e-01"	"1.20e-01"	"2.34486"	"ZK856.4"	"hypothetical protein"
"186033_at"	"4.90e-01"	"1.20e-01"	"2.34454"	"F47C12.7"	"hypothetical protein"
"189537_at"	"4.90e-01"	"1.20e-01"	"2.34443"	"C44H9.4"	"hypothetical protein"
"172055_x_at"	"4.90e-01"	"1.20e-01"	"2.34403"	"T10C6.19///K06C4.23///K06C4.26///F07B7.15///F45F2.14///his-19///his-20///his-8///his-7///his-54///his-53///his-3///his-4///his-22///his-21///his-52///his-51"	"ncRNA///ncRNA///ncRNA///ncRNA///ncRNA///Histone H2A///Histone H2B 2///Histone H2B 2///Histone H2A///Histone H2B 2///Histone H2A///Histone H2A///Histone H2B 2///Histone H2B 2///Histone H2A///Histone H2B 2///Histone H2A"
"188748_s_at"	"4.91e-01"	"1.20e-01"	"2.34304"	"hxk-2"	"Hexokinase"
"172271_x_at"	"4.91e-01"	"1.21e-01"	"2.34144"	"F56H9.2"	"hypothetical protein"
"177118_s_at"	"4.91e-01"	"1.21e-01"	"2.3414"	"miz-1"	"MIZ-type zinc finger putative transcription factor"
"186068_at"	"4.91e-01"	"1.21e-01"	"2.34131"	"F49H12.2"	"hypothetical protein"
"189017_at"	"4.91e-01"	"1.21e-01"	"2.34084"	"glna-3"	"Putative glutaminase 3"
"184435_at"	"4.91e-01"	"1.21e-01"	"2.34083"	"Y71A12B.8"	"hypothetical protein"
"181843_s_at"	"4.91e-01"	"1.21e-01"	"2.34067"	"K10D2.1"	"Protein HIRA homolog"
