"ID"	"adj.P.Val"	"P.Value"	"Gene.symbol"	"Gene.title"	"GO.Function"	"GO.Process"	"GO.Component"
"193394_at"	0.00036709813573074	1.93259409990156e-06	"drd-5"	"dietary restriction down regulated"	""	"oxidation-reduction process"	"integral component of membrane///membrane"
"193111_s_at"	0.00036709813573074	1.95400465293357e-06	"sur-5"	"Acetoacetyl-CoA synthetase"	"ATP binding///acetoacetate-CoA ligase activity///catalytic activity///ligase activity///nucleotide binding"	"fatty acid metabolic process///lipid metabolic process///metabolic process"	"cytoplasm///nucleus"
"175587_at"	0.00036709813573074	1.96326516788595e-06	"acly-1"	"Probable ATP-citrate synthase"	"ATP binding///ATP citrate synthase activity///catalytic activity///cofactor binding///metal ion binding///nucleotide binding///transferase activity///transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer"	"acetyl-CoA biosynthetic process///citrate metabolic process///lipid metabolic process///metabolic process"	"cytoplasm"
"188987_at"	0.000377746785973507	2.03691084591239e-06	"F20G2.1"	"hypothetical protein"	""	""	""
"191723_s_at"	0.000387058804062846	2.10474351135778e-06	"cwn-2"	"Protein Wnt-2"	"frizzled binding///frizzled binding///receptor binding"	"Wnt signaling pathway///Wnt signaling pathway///Wnt signaling pathway///anterior/posterior axis specification///anterior/posterior axon guidance///cell fate specification involved in pattern specification///embryo development ending in birth or egg hatching///interneuron migration///interneuron migration///motor neuron migration///motor neuron migration///multicellular organism development///nervous system development///neuroblast migration///neuroblast migration///neuron migration///neuron migration///sensory neuron migration///specification of organ axis polarity///vulval development"	"extracellular region///extracellular space///proteinaceous extracellular matrix"
"183408_at"	0.000387058804062846	2.12133885983615e-06	"W01C8.5"	"hypothetical protein"	""	""	""
"177956_at"	0.000427117888430694	2.37218789803014e-06	"srd-53"	"Serpentine Receptor, class D (delta)"	""	""	"integral component of membrane///membrane"
"182068_at"	0.000427117888430694	2.37864547811127e-06	"T05F1.11"	"hypothetical protein"	""	""	""
"191638_s_at"	0.000453358145472577	2.54481699337093e-06	"F10G8.1///C55B7.3"	"Protein-tyrosine-phosphatase///Protein-tyrosine-phosphatase"	"hydrolase activity///phosphoprotein phosphatase activity///protein tyrosine phosphatase activity///hydrolase activity///phosphoprotein phosphatase activity///protein tyrosine phosphatase activity"	"peptidyl-tyrosine dephosphorylation///protein dephosphorylation///embryo development ending in birth or egg hatching///peptidyl-tyrosine dephosphorylation///protein dephosphorylation"	""
"184144_at"	0.000464059258854075	2.62539602799211e-06	"R193.2"	"hypothetical protein"	""	""	"integral component of membrane///membrane"
"175993_at"	0.000464087447188722	2.65865221391103e-06	"gsto-1"	"Glutathione transferase omega-1"	"glutathione dehydrogenase (ascorbate) activity///glutathione dehydrogenase (ascorbate) activity///glutathione transferase activity///glutathione transferase activity///methylarsonate reductase activity///oxidoreductase activity///transferase activity"	"cellular oxidant detoxification///cellular oxidant detoxification///cellular response to extracellular stimulus///embryo development ending in birth or egg hatching///glutathione metabolic process///hermaphrodite genitalia development///locomotion///metabolic process///oviposition///oxidation-reduction process///oxidation-reduction process///protein glutathionylation///response to oxidative stress///response to oxidative stress///response to superoxide"	"cellular_component///cytoplasm///cytoplasm"
"190620_s_at"	0.000464087447188722	2.66657980705122e-06	"alh-5"	"Aldehyde dehydrogenase"	"3-chloroallyl aldehyde dehydrogenase activity///aldehyde dehydrogenase (NAD) activity///aldehyde dehydrogenase [NAD(P)+] activity///oxidoreductase activity///oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	"cellular aldehyde metabolic process///metabolic process///oxidation-reduction process"	""
"178672_s_at"	0.000464413117952958	2.70529601896183e-06	"F56D5.4"	"pseudo"	""	""	""
"178843_at"	0.000464413117952958	2.70950415778079e-06	"F08G5.6"	"hypothetical protein"	""	"defense response to Gram-negative bacterium///innate immune response///innate immune response"	"membrane raft"
"188078_at"	0.000484610495901976	2.8487600422083e-06	"lipl-2"	"Lipase"	"hydrolase activity///hydrolase activity, acting on ester bonds"	"lipid catabolic process///lipid metabolic process"	""
"176349_s_at"	0.000493845705391878	2.92487622198947e-06	"T24E12.5"	"hypothetical protein"	""	""	"integral component of membrane///membrane"
"184397_s_at"	0.000495603881786248	2.95719443275773e-06	"C46H11.2"	"Flavin-containing monooxygenase"	"N,N-dimethylaniline monooxygenase activity///NADP binding///flavin adenine dinucleotide binding///monooxygenase activity///monooxygenase activity///oxidoreductase activity"	"lipid storage///oxidation-reduction process///oxidation-reduction process"	""
"185145_at"	0.000516688794180488	3.10584203352691e-06	"Y46D2A.2"	"hypothetical protein"	""	""	""
"185802_at"	0.000516744970291312	3.13206059740455e-06	"F59E11.5"	"hypothetical protein"	""	"lipid storage"	"integral component of membrane///membrane"
"187197_s_at"	0.000516744970291312	3.15185882431828e-06	""	""	""	""	""
"173898_at"	0.000534767798305092	3.28542426362024e-06	"pdi-6"	"Probable protein disulfide-isomerase A6"	"isomerase activity///protein disulfide isomerase activity///protein disulfide isomerase activity"	"apoptotic cell clearance///cell redox homeostasis///endoplasmic reticulum unfolded protein response///locomotion///metabolic process///nematode larval development///protein folding"	"endoplasmic reticulum///endoplasmic reticulum///endoplasmic reticulum lumen"
"189800_s_at"	0.000535472274371639	3.31341959832175e-06	"mua-3"	"Transmembrane cell adhesion receptor mua-3"	"calcium ion binding///collagen binding///intermediate filament binding"	"apoptotic process///cell adhesion///cell-matrix adhesion///locomotion///nematode larval development///reproduction"	"hemidesmosome///integral component of membrane///intermediate filament///membrane///plasma membrane"
"176116_at"	0.000538805260550107	3.35785819834542e-06	"F09G8.5"	"hypothetical protein"	""	""	""
"176321_s_at"	0.000580026500947935	3.64038732086659e-06	"trap-1"	"TRanslocon-Associated Protein"	""	"embryo development ending in birth or egg hatching"	"endoplasmic reticulum membrane///integral component of membrane///membrane"
"174713_at"	0.000594241461472071	3.75586868466326e-06	"mrp-5"	"hypothetical protein"	"ATP binding///ATPase activity///ATPase activity, coupled to transmembrane movement of substances///nucleotide binding"	"collagen and cuticulin-based cuticle development///determination of adult lifespan///metabolic process///nematode larval development///transmembrane transport///transport"	"integral component of membrane///membrane"
"190161_at"	0.000625191175871852	3.99199379255382e-06	"ncx-6"	"Putative sodium/calcium exchanger 6"	"antiporter activity"	"calcium ion transport///ion transport///sodium ion transport///transmembrane transport///transport"	"integral component of membrane///membrane"
"190346_at"	0.000625191175871852	4.03375014915326e-06	"F10G8.9"	"hypothetical protein"	"catalytic activity///transferase activity"	"metabolic process"	""
"178025_s_at"	0.000625191175871852	4.03438283656532e-06	"W09C5.1"	"hypothetical protein"	""	"hermaphrodite genitalia development///maturation of 5.8S rRNA///maturation of LSU-rRNA///reproduction"	"nucleolus///preribosome, large subunit precursor"
"184159_at"	0.00062527563537021	4.06256434914568e-06	"T05E12.6"	"hypothetical protein"	""	""	""
"184313_s_at"	0.000638470930335373	4.21433171350762e-06	"K11H12.4"	"hypothetical protein"	""	""	""
"181635_at"	0.000638470930335373	4.24480753903436e-06	"F55G11.2"	"hypothetical protein"	""	"innate immune response"	""
"179094_s_at"	0.000638470930335373	4.25180504272115e-06	"T16G1.4"	"hypothetical protein"	""	""	""
"192010_s_at"	0.000638470930335373	4.2611761538405e-06	"hsp-4"	"Heat Shock Protein"	"ATP binding///RNA polymerase II transcription factor binding///nucleotide binding"	"apoptotic process///embryo development ending in birth or egg hatching///embryo development ending in birth or egg hatching///endoplasmic reticulum unfolded protein response///lipid storage///nematode larval development///reproduction"	"endoplasmic reticulum///endoplasmic reticulum chaperone complex///endoplasmic reticulum lumen///rough endoplasmic reticulum"
"191632_at"	0.000668256752934679	4.50328869145394e-06	"T28H10.1"	"hypothetical protein"	"holo-[acyl-carrier-protein] synthase activity///holo-[acyl-carrier-protein] synthase activity///magnesium ion binding"	"lysine biosynthetic process via aminoadipic acid"	""
"177978_at"	0.000668256752934679	4.51904014139253e-06	"dct-18"	"DAF-16/FOXO Controlled, germline Tumor affecting"	""	""	""
"187323_at"	0.000718665806764564	4.891692121182e-06	"F13D12.6"	"Uncharacterized serine carboxypeptidase F13S12.6"	"carboxypeptidase activity///hydrolase activity///peptidase activity///serine-type carboxypeptidase activity///serine-type carboxypeptidase activity"	"embryo development ending in birth or egg hatching///lipid storage///proteolysis///proteolysis involved in cellular protein catabolic process"	""
"193068_at"	0.000723029640435333	4.95335223281665e-06	"pept-1"	"Peptide transporter family 1"	"dipeptide transporter activity///oligopeptide transporter activity///transporter activity"	"amino acid homeostasis///determination of adult lifespan///determination of adult lifespan///dipeptide transport///lipid metabolic process///lipid storage///lipid storage///negative regulation of fatty acid transport///nematode larval development///nematode larval development///nematode larval development///oligopeptide transport///peptide transport///positive regulation of growth rate///positive regulation of growth rate///positive regulation of multicellular organism growth///protein transport///regulation of TOR signaling///regulation of endoplasmic reticulum unfolded protein response///regulation of pH///reproduction///reproduction///reproduction///response to heat///response to heat///response to oxidative stress///response to oxidative stress///transport"	"apical plasma membrane///apical plasma membrane///integral component of membrane///membrane///plasma membrane"
"188921_at"	0.000731299905134415	5.07195094489515e-06	"F25D1.5"	"hypothetical protein"	"nucleotide binding"	"oxidation-reduction process"	""
"191581_at"	0.000731299905134415	5.07465569529738e-06	"best-1"	"Bestrophin homolog 1"	"contributes_to chloride channel activity///chloride channel activity"	"chloride transmembrane transport///chloride transport///ion transport///transport"	"chloride channel complex///chloride channel complex///integral component of membrane///integral component of plasma membrane///membrane///plasma membrane"
"193755_s_at"	0.000733989363850107	5.15443898221792e-06	"pdi-3"	"Protein disulfide-isomerase"	"isomerase activity///protein disulfide isomerase activity///protein disulfide isomerase activity///protein-glutamine gamma-glutamyltransferase activity"	"body morphogenesis///cell redox homeostasis///collagen and cuticulin-based cuticle development///collagen and cuticulin-based cuticle development///nematode male tail mating organ morphogenesis///nematode male tail tip morphogenesis///oviposition///peptide cross-linking///positive regulation of embryonic development///positive regulation of multicellular organism growth///protein deglutathionylation///protein folding///protein folding///regulation of cell shape///response to endoplasmic reticulum stress"	"endoplasmic reticulum///endoplasmic reticulum"
"182904_at"	0.000733989363850107	5.15820149622838e-06	"W03D2.6"	"pseudo"	""	""	""
"187724_s_at"	0.000734403117519274	5.19356900787111e-06	"ZK177.2///F12A10.2"	"hypothetical protein///pseudo"	"protein serine/threonine kinase activity"	"intracellular signal transduction"	"cytoplasm///integral component of membrane///membrane///nucleus"
"186446_at"	0.000734777772340274	5.22869486615621e-06	"pnk-1"	"PaNtothenate Kinase"	"ATP binding///kinase activity///pantothenate kinase activity"	"apoptotic process///coenzyme A biosynthetic process///determination of adult lifespan///embryo development ending in birth or egg hatching///lipid storage///nematode larval development///phosphorylation///reproduction"	""
"185067_at"	0.000773296740786181	5.53835402459656e-06	"C54F6.12"	"hypothetical protein"	""	""	""
"191406_at"	0.000773296740786181	5.57115441980763e-06	"F21D5.3"	"hypothetical protein"	"copper ion binding///copper ion binding///ferroxidase activity///contributes_to iron ion transmembrane transporter activity///oxidoreductase activity"	"iron assimilation by reduction and transport///iron ion transmembrane transport///iron ion transport///oxidation-reduction process///oxidation-reduction process"	"high-affinity iron permease complex"
"184449_at"	0.000777226519179973	5.63381874676312e-06	"trap-4"	"TRanslocon-Associated Protein"	"protein binding"	"locomotion"	"endoplasmic reticulum///integral component of membrane"
"190009_at"	0.000779454458358534	5.69237410558124e-06	"F49E12.10"	"hypothetical protein"	"iron ion binding///oxidoreductase activity"	"fatty acid biosynthetic process///oxidation-reduction process"	"integral component of membrane///membrane"
"185141_at"	0.000779454458358534	5.72311322873253e-06	"clec-125"	"C-type LECtin"	"carbohydrate binding"	""	""
"178014_s_at"	0.000779454458358534	5.75742405274769e-06	"prmt-7"	"Protein arginine N-methyltransferase 7"	"histone-arginine N-methyltransferase activity///methyltransferase activity///protein-arginine omega-N asymmetric methyltransferase activity///protein-arginine omega-N monomethyltransferase activity///transferase activity"	"histone arginine methylation///methylation///peptidyl-arginine methylation, to asymmetrical-dimethyl arginine///peptidyl-arginine methylation, to symmetrical-dimethyl arginine///protein methylation///regulation of transcription, DNA-templated"	"cytosol"
"189299_at"	0.000779454458358534	5.80190941487958e-06	"Y65B4BR.1"	"hypothetical protein"	"hydrolase activity, acting on ester bonds"	"defense response///metabolic process"	""
"187407_s_at"	0.000779454458358534	5.82222335746264e-06	"B0495.5"	"hypothetical protein"	"catalytic activity///molecular_function"	"metabolic process"	"cellular_component"
"185348_at"	0.000786255951773588	5.90777952713856e-06	"zip-12"	"bZIP transcription factor family"	""	""	""
"183845_s_at"	0.000799726502623049	6.04434174358194e-06	"mboa-3"	"Membrane Bound O-Acyl transferase, MBOAT"	"transferase activity///transferase activity, transferring acyl groups"	"metabolic process"	"integral component of membrane///membrane"
"173865_at"	0.000805881520986186	6.12648051313256e-06	"sur-5"	"Acetoacetyl-CoA synthetase"	"ATP binding///acetoacetate-CoA ligase activity///catalytic activity///ligase activity///nucleotide binding"	"fatty acid metabolic process///lipid metabolic process///metabolic process"	"cytoplasm///nucleus"
"184777_s_at"	0.000806893678190139	6.16983895367487e-06	"K06A9.1"	"hypothetical protein"	""	""	"integral component of membrane///membrane"
"193894_at"	0.000820469412680117	6.39102175511125e-06	"metr-1"	"Probable methionine synthase"	"S-adenosylmethionine-homocysteine S-methyltransferase activity///cobalamin binding///metal ion binding///methionine synthase activity///methionine synthase activity///methyltransferase activity///transferase activity///zinc ion binding"	"cellular amino acid biosynthetic process///cellular metabolic process///methionine biosynthetic process///methylation///pteridine-containing compound metabolic process///secretion by cell"	"cytosol///intracellular"
"184037_at"	0.000820469412680117	6.40405845174141e-06	"math-22"	"MATH (meprin-associated Traf homology) domain containing"	""	""	""
"188105_s_at"	0.000820469412680117	6.41545621421133e-06	"mup-4"	"Transmembrane matrix receptor MUP-4"	"calcium ion binding///protein binding"	"apoptotic process///cell adhesion///locomotion///molting cycle, collagen and cuticulin-based cuticle///multicellular organism development///nematode larval development///protein catabolic process///receptor-mediated endocytosis///reproduction///striated muscle myosin thick filament assembly"	"cell junction///cytoplasm///cytoskeleton///extracellular matrix///hemidesmosome///hemidesmosome///hemidesmosome associated protein complex///integral component of membrane///intermediate filament///membrane///plasma membrane"
"183376_at"	0.000820469412680117	6.45353505509979e-06	"Y39B6A.27"	"hypothetical protein"	""	""	"integral component of membrane///membrane"
"182790_at"	0.000820469412680117	6.45629575207878e-06	"clec-7"	"C-type LECtin"	"carbohydrate binding"	"defense response to Gram-positive bacterium"	""
"189366_at"	0.000820469412680117	6.49122761855209e-06	"cyp-35B1"	"CYtochrome P450 family"	"heme binding///iron ion binding///metal ion binding///monooxygenase activity///oxidoreductase activity///oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen///steroid hydroxylase activity"	"determination of adult lifespan///lipid storage///oxidation-reduction process"	""
"187567_at"	0.000831453467565478	6.61487841599054e-06	"ZK177.2"	"hypothetical protein"	"protein serine/threonine kinase activity"	"intracellular signal transduction"	"cytoplasm///integral component of membrane///membrane///nucleus"
"182338_at"	0.000843741391287853	6.74993113030283e-06	"T05E7.1"	"hypothetical protein"	"thiolester hydrolase activity"	"acyl-CoA metabolic process"	""
"178690_s_at"	0.000874851984492014	7.03748336696338e-06	"F33E2.5"	"hypothetical protein"	""	""	""
"190202_at"	0.000910541153304418	7.36481905214181e-06	"scav-4"	"SCAVenger receptor (CD36 family) related"	""	""	"integral component of membrane///membrane"
"184602_at"	0.000916237451844149	7.48892984262067e-06	"ugt-25"	"UDP-glucuronosyltransferase"	"glucuronosyltransferase activity///glucuronosyltransferase activity///transferase activity///transferase activity, transferring glycosyl groups///transferase activity, transferring hexosyl groups"	"flavonoid biosynthetic process///flavonoid glucuronidation///metabolic process"	"integral component of membrane///intracellular membrane-bounded organelle///membrane"
"193623_at"	0.000916237451844149	7.49188634657094e-06	"icmt-1"	"Protein-S-isoprenylcysteine O-methyltransferase"	"methyltransferase activity///protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity///transferase activity"	"C-terminal protein methylation///embryo development ending in birth or egg hatching///methylation"	"endoplasmic reticulum///endoplasmic reticulum membrane///integral component of membrane///membrane"
"185954_at"	0.000922702566306988	7.58553269980551e-06	"Y54G11A.7"	"hypothetical protein"	""	"embryo development ending in birth or egg hatching"	""
"188063_s_at"	0.000926627797820735	7.65875793115922e-06	"lact-3"	"beta-LACTamase domain containing"	""	"lipid storage"	""
"177131_s_at"	0.000936768542667632	7.78397728271889e-06	"pud-1.1///pud-1.2"	"Protein Up-regulated in Daf-2(gf)///Protein Up-regulated in Daf-2(gf)"	""	""	""
"184328_s_at"	0.000941182443142004	7.86225333718625e-06	"clec-173"	"C-type LECtin"	"carbohydrate binding"	""	""
"182710_at"	0.000967812459304783	8.16784447009111e-06	"C35B8.3"	"hypothetical protein"	""	""	""
"185210_s_at"	0.000967812459304783	8.17026208739065e-06	"swt-7"	"SWEET sugar transporter family"	"sugar transmembrane transporter activity"	"carbohydrate transmembrane transport///carbohydrate transport///carbohydrate transport///carbohydrate transport///defense response to Gram-negative bacterium///innate immune response///innate immune response///transport"	"integral component of membrane///integral component of membrane///membrane"
"172958_s_at"	0.000977182888951258	8.29255755485708e-06	"F13D12.6"	"Uncharacterized serine carboxypeptidase F13S12.6"	"carboxypeptidase activity///hydrolase activity///peptidase activity///serine-type carboxypeptidase activity///serine-type carboxypeptidase activity"	"embryo development ending in birth or egg hatching///lipid storage///proteolysis///proteolysis involved in cellular protein catabolic process"	""
"171923_x_at"	0.000977562926960617	8.36553930049195e-06	"Y38F1A.6"	"Probable hydroxyacid-oxoacid transhydrogenase, mitochondrial"	"hydroxyacid-oxoacid transhydrogenase activity///hydroxyacid-oxoacid transhydrogenase activity///metal ion binding///oxidoreductase activity"	"molecular hydrogen transport///oxidation-reduction process"	"mitochondrion///mitochondrion"
"193979_s_at"	0.000977562926960617	8.38219703117612e-06	"kin-15"	"Receptor-like tyrosine-protein kinase kin-15"	"ATP binding///kinase activity///nucleotide binding///protein kinase activity///protein tyrosine kinase activity///transferase activity///transmembrane receptor protein tyrosine kinase activity"	"peptidyl-tyrosine phosphorylation///phosphorylation///protein phosphorylation///transmembrane receptor protein tyrosine kinase signaling pathway"	"integral component of membrane///integral component of plasma membrane///membrane///plasma membrane"
"188803_s_at"	0.000981852077636529	8.4623714978618e-06	"mel-32"	"Serine hydroxymethyltransferase"	"catalytic activity///glycine hydroxymethyltransferase activity///glycine hydroxymethyltransferase activity///pyridoxal phosphate binding///transferase activity"	"embryo development///embryo development ending in birth or egg hatching///embryo development ending in birth or egg hatching///one-carbon metabolic process///serine family amino acid metabolic process///tetrahydrofolate interconversion"	"mitochondrion"
"176851_at"	0.00102393829309658	8.87036046174278e-06	"comt-4"	"Catechol-O-MethylTransferase family"	"O-methyltransferase activity///methyltransferase activity///transferase activity"	"methylation"	""
"176597_at"	0.00109016945284046	9.50391071860931e-06	"JC8.4"	"hypothetical protein"	"catalytic activity///tRNA-specific adenosine-34 deaminase activity///zinc ion binding"	"embryo development ending in birth or egg hatching///tRNA modification"	"tRNA-specific adenosine-34 deaminase complex"
"173556_s_at"	0.00109016945284046	9.54048847126681e-06	"mthf-1"	"Probable methylenetetrahydrofolate reductase"	"methylenetetrahydrofolate reductase (NAD(P)H) activity///methylenetetrahydrofolate reductase (NAD(P)H) activity///oxidoreductase activity"	"methionine metabolic process///one-carbon metabolic process///oxidation-reduction process///tetrahydrofolate interconversion"	"cytosol"
"179525_at"	0.00109190750479889	9.60395993171181e-06	"hrg-4"	"Heme Responsive Gene"	"heme binding///heme transporter activity///heme transporter activity"	"heme transport///heme transport///transport"	"integral component of membrane///integral component of plasma membrane///membrane///plasma membrane"
"194222_x_at"	0.00109445237979902	9.67471716949406e-06	"Y38F2AR.9"	"hypothetical protein"	""	"intracellular protein transport"	"Sec61 translocon complex///integral component of membrane///membrane"
"192669_at"	0.00112176819290741	9.96576383533211e-06	"F22D6.9"	"Serine/threonine-protein phosphatase"	"hydrolase activity///phosphoprotein phosphatase activity"	"embryo development ending in birth or egg hatching///metabolic process///protein dephosphorylation///reproduction"	""
"174529_at"	0.00112344503399579	1.00303158836309e-05	"H28G03.1"	"hypothetical protein"	"nucleic acid binding///nucleotide binding"	""	""
"175885_at"	0.00114825330333465	1.03025600254999e-05	"F12E12.11"	"hypothetical protein"	""	"oxidation-reduction process"	""
"186182_s_at"	0.0011489638202006	1.03597179810352e-05	"hrg-1"	"Heme transporter hrg-1"	"heme binding///heme transporter activity///heme transporter activity"	"heme transport///heme transport///transport"	"early endosome///endosome///endosome///endosome membrane///integral component of membrane///integral component of plasma membrane///late endosome///lysosomal membrane///lysosome///lysosome///membrane///recycling endosome"
"191802_at"	0.00115374908895673	1.04538591485583e-05	"pssy-1"	"PhosphatidylSerine SYnthase"	""	"phosphatidylserine biosynthetic process///phospholipid biosynthetic process///positive regulation of multicellular organism growth"	"integral component of membrane///integral component of membrane///membrane"
"192177_s_at"	0.00115693424850222	1.05491087648671e-05	"ZK632.4"	"Probable mannose-6-phosphate isomerase"	"isomerase activity///mannose-6-phosphate isomerase activity///metal ion binding///zinc ion binding"	"GDP-mannose biosynthetic process///carbohydrate metabolic process"	"cytoplasm"
"184320_at"	0.00115693424850222	1.05849895885065e-05	"C14F11.4"	"hypothetical protein"	"protein binding"	""	""
"190208_at"	0.00116535123042688	1.07135052344217e-05	"H28G03.1"	"hypothetical protein"	"nucleic acid binding///nucleotide binding"	""	""
"178069_s_at"	0.00120250211234551	1.11081963085176e-05	"ZC247.1"	"hypothetical protein"	""	"apoptotic process///positive regulation of multicellular organism growth///reproduction"	""
"189234_at"	0.00121132613930212	1.12513115129593e-05	"E01G6.3"	"Carboxylic ester hydrolase"	"carboxylic ester hydrolase activity///hydrolase activity"	"metabolic process"	"extracellular space///integral component of membrane///membrane"
"191298_s_at"	0.00121132613930212	1.12967874206739e-05	"pcp-2"	"Prolyl Carboxy Peptidase like"	"dipeptidyl-peptidase activity///serine-type carboxypeptidase activity///serine-type peptidase activity"	"proteolysis///proteolysis"	"membrane raft"
"190427_s_at"	0.00122572761702335	1.14852709307824e-05	"ftn-1"	"Ferritin"	"ferric iron binding///ferroxidase activity///identical protein binding///metal ion binding///oxidoreductase activity///protein binding"	"cellular iron ion homeostasis///cellular iron ion homeostasis///determination of adult lifespan///embryo development ending in birth or egg hatching///iron ion transport///oxidation-reduction process"	"cell///cell"
"184396_at"	0.00123651152154574	1.16927515281815e-05	"C46H11.2"	"Flavin-containing monooxygenase"	"N,N-dimethylaniline monooxygenase activity///NADP binding///flavin adenine dinucleotide binding///monooxygenase activity///monooxygenase activity///oxidoreductase activity"	"lipid storage///oxidation-reduction process///oxidation-reduction process"	""
"193077_at"	0.00123651152154574	1.16956227894271e-05	"vgln-1"	"ViGiLN homolog"	"RNA binding///nucleic acid binding"	"body morphogenesis///embryo development ending in birth or egg hatching///hermaphrodite genitalia development///locomotion///nematode larval development///oviposition///reproduction"	""
"181857_at"	0.00125329652055526	1.19097790903594e-05	"C06E4.8"	"hypothetical protein"	""	""	""
"192255_at"	0.00125462017165496	1.19778102575678e-05	"F14D7.6"	"hypothetical protein"	""	"transmembrane transport"	"integral component of membrane///membrane"
"193200_s_at"	0.00129233648534793	1.23950062904089e-05	"gale-1"	"UDP-GALactose 4-Epimerase"	"UDP-glucose 4-epimerase activity///isomerase activity///racemase and epimerase activity, acting on carbohydrates and derivatives"	"carbohydrate metabolic process///cell migration///cuticle development///cuticle development///defense response///galactose metabolic process///gonad development"	""
"189042_at"	0.00132410014201383	1.27581803738791e-05	"tkt-1"	"TransKeTolase homolog"	"catalytic activity"	"determination of adult lifespan///embryo development ending in birth or egg hatching///metabolic process///nematode larval development///receptor-mediated endocytosis///reproduction"	""
"183240_s_at"	0.00137186898907298	1.32790854632921e-05	"lpin-1"	"LiPIN (mammalian lipodystrophy associated) homolog"	"phosphatidate phosphatase activity///phosphatidate phosphatase activity///transcription coactivator activity"	"apoptotic process///cellular component organization///dephosphorylation///dephosphorylation///embryo development ending in birth or egg hatching///embryo development ending in birth or egg hatching///endoplasmic reticulum organization///fatty acid catabolic process///growth///lamin depolymerization///lipid storage///lipid storage///locomotion///mitotic sister chromatid segregation///nematode larval development///nematode larval development///nuclear envelope disassembly///nuclear envelope reassembly///positive regulation of transcription from RNA polymerase II promoter///protein localization to nucleus///regulation of nuclear division///reproduction///secretion by cell///triglyceride biosynthetic process"	"cytoplasm///endoplasmic reticulum///nuclear envelope///nucleoplasm"
"189345_at"	0.00140432567152688	1.36553214468912e-05	"pho-13"	"intestinal acid PHOsphatase"	"acid phosphatase activity"	"dephosphorylation"	""
"180625_at"	0.00147226759754264	1.43821844995644e-05	"R07H5.11///T08B2.4"	"hypothetical protein///hypothetical protein"	""	""	""
"173463_s_at"	0.00147226759754264	1.44461174211919e-05	"slo-2"	"SLOwpoke potassium channel family"	"calcium-activated potassium channel activity///calcium-activated potassium channel activity///calcium-activated potassium channel activity///outward rectifier potassium channel activity"	"positive regulation of neurotransmitter secretion///potassium ion transmembrane transport///potassium ion transmembrane transport///potassium ion transmembrane transport///potassium ion transport///potassium ion transport"	"axon///integral component of membrane///membrane///voltage-gated potassium channel complex"
"179499_s_at"	0.00147353089229049	1.45236415019129e-05	"fbxa-157///fbxa-156"	"F-box A protein///F-box A protein"	""	""	""
"189371_s_at"	0.00150282990451001	1.49020233402139e-05	"R07H5.8"	"hypothetical protein"	"adenosine kinase activity///protein binding"	"AMP biosynthetic process///nematode larval development///purine ribonucleoside salvage///receptor-mediated endocytosis///secretion by cell"	""
"192032_s_at"	0.00150282990451001	1.49458594829614e-05	"pdi-6"	"Probable protein disulfide-isomerase A6"	"isomerase activity///protein disulfide isomerase activity///protein disulfide isomerase activity"	"apoptotic cell clearance///cell redox homeostasis///endoplasmic reticulum unfolded protein response///locomotion///metabolic process///nematode larval development///protein folding"	"endoplasmic reticulum///endoplasmic reticulum///endoplasmic reticulum lumen"
"178773_at"	0.00150282990451001	1.50116931898016e-05	"T13F3.6"	"hypothetical protein"	""	""	""
"182282_s_at"	0.00162527863084429	1.63066629481394e-05	"rpa-3///rpa-4"	"RPA-3///Replication Protein A homolog"	""	""	""
"193627_at"	0.00166299223129649	1.67585515463248e-05	"ahcy-1"	"Adenosylhomocysteinase"	"adenosylhomocysteinase activity///adenosylhomocysteinase activity///adenosylhomocysteinase activity///hydrolase activity"	"S-adenosylhomocysteine catabolic process///S-adenosylmethionine cycle///body morphogenesis///embryo development ending in birth or egg hatching///locomotion///nematode larval development///one-carbon metabolic process///receptor-mediated endocytosis///secretion by cell"	"cytosol///cytosol"
"181334_s_at"	0.0016666627785563	1.68692055818516e-05	"C27H5.4"	"hypothetical protein"	""	"apoptotic process///embryo development ending in birth or egg hatching///nematode larval development///oogenesis///reproduction"	"integral component of membrane///membrane"
"181629_at"	0.0016906584742202	1.71868043788131e-05	"C31B8.4"	"hypothetical protein"	""	""	""
"189364_at"	0.0018257300259574	1.86406026959629e-05	"parg-2"	"Poly(ADP-ribose) glycohydrolase 2"	"hydrolase activity///poly(ADP-ribose) glycohydrolase activity///poly(ADP-ribose) glycohydrolase activity///poly(ADP-ribose) glycohydrolase activity"	"carbohydrate metabolic process///cellular response to DNA damage stimulus///nucleotide-sugar metabolic process///nucleotide-sugar metabolic process///response to gamma radiation"	"cytoplasm///cytoplasm"
"174748_at"	0.00183621147772957	1.88287762578237e-05	"srap-1"	"Serine Rich Adhesion Protein-like"	""	""	""
"191956_at"	0.0018396731485047	1.89793606586863e-05	"asp-3"	"Aspartic protease 3"	"aspartic-type endopeptidase activity///aspartic-type endopeptidase activity///hydrolase activity///peptidase activity"	"defense response///determination of adult lifespan///necrotic cell death///protein catabolic process///proteolysis///proteolysis"	"cytoplasm///extracellular region///lysosome"
